Provincias;Periodo;Total
A Coruña;2022;21,35
A Coruña;2021;21,4
A Coruña;2020;21,52
A Coruña;2019;21,7
A Coruña;2018;21,11
A Coruña;2017;21,31
A Coruña;2016;21,11
A Coruña;2015;20,87
Albacete;2022;20,96
Albacete;2021;21,15
Albacete;2020;19,31
Albacete;2019;21,14
Albacete;2018;21,18
Albacete;2017;21,09
Albacete;2016;20,9
Albacete;2015;21
Alicante/Alacant;2022;20,78
Alicante/Alacant;2021;20,3
Alicante/Alacant;2020;20,55
Alicante/Alacant;2019;21,06
Alicante/Alacant;2018;20,78
Alicante/Alacant;2017;20,8
Alicante/Alacant;2016;20,98
Alicante/Alacant;2015;20,59
Almería;2022;19,79
Almería;2021;19,4
Almería;2020;20,01
Almería;2019;20,18
Almería;2018;19,73
Almería;2017;20,03
Almería;2016;20,2
Almería;2015;19,58
Araba/Álava;2022;22,01
Araba/Álava;2021;22,16
Araba/Álava;2020;21,4
Araba/Álava;2019;22,54
Araba/Álava;2018;22,13
Araba/Álava;2017;21,74
Araba/Álava;2016;22,04
Araba/Álava;2015;21,47
Asturias;2022;20,92
Asturias;2021;21,05
Asturias;2020;20,35
Asturias;2019;21,19
Asturias;2018;20,96
Asturias;2017;20,89
Asturias;2016;20,75
Asturias;2015;20,56
Ávila;2022;21,41
Ávila;2021;21,68
Ávila;2020;20,5
Ávila;2019;21,85
Ávila;2018;21,78
Ávila;2017;21,22
Ávila;2016;21,73
Ávila;2015;21,25
Badajoz;2022;20,28
Badajoz;2021;19,99
Badajoz;2020;19,94
Badajoz;2019;20,6
Badajoz;2018;20,24
Badajoz;2017;20,22
Badajoz;2016;20,18
Badajoz;2015;19,92
Barcelona;2022;21,47
Barcelona;2021;21,35
Barcelona;2020;20,13
Barcelona;2019;21,8
Barcelona;2018;21,43
Barcelona;2017;21,28
Barcelona;2016;21,43
Barcelona;2015;21,18
Bizkaia;2022;21,37
Bizkaia;2021;21,52
Bizkaia;2020;20,99
Bizkaia;2019;21,65
Bizkaia;2018;21,58
Bizkaia;2017;21,37
Bizkaia;2016;21,24
Bizkaia;2015;21,22
Burgos;2022;21,81
Burgos;2021;22,21
Burgos;2020;20,79
Burgos;2019;22,17
Burgos;2018;22,09
Burgos;2017;21,9
Burgos;2016;21,91
Burgos;2015;21,89
Cáceres;2022;20,68
Cáceres;2021;20,88
Cáceres;2020;19,78
Cáceres;2019;21,41
Cáceres;2018;21,17
Cáceres;2017;20,77
Cáceres;2016;20,91
Cáceres;2015;20,64
Cádiz;2022;19,74
Cádiz;2021;19,25
Cádiz;2020;19,37
Cádiz;2019;19,93
Cádiz;2018;19,42
Cádiz;2017;19,61
Cádiz;2016;19,43
Cádiz;2015;19,05
Cantabria;2022;21,01
Cantabria;2021;21,56
Cantabria;2020;20,99
Cantabria;2019;21,53
Cantabria;2018;21,23
Cantabria;2017;21,36
Cantabria;2016;21,2
Cantabria;2015;21,03
Castellón/Castelló;2022;20,85
Castellón/Castelló;2021;20,6
Castellón/Castelló;2020;20,77
Castellón/Castelló;2019;21,03
Castellón/Castelló;2018;20,54
Castellón/Castelló;2017;20,92
Castellón/Castelló;2016;20,79
Castellón/Castelló;2015;20,44
Ceuta;2022;18,42
Ceuta;2021;17,57
Ceuta;2020;17,87
Ceuta;2019;19,53
Ceuta;2018;19,31
Ceuta;2017;18,64
Ceuta;2016;19,26
Ceuta;2015;19,28
Ciudad Real;2022;20,84
Ciudad Real;2021;20,4
