Provincias;Periodo;Total
A Coruña;2022;17.349,00
A Coruña;2021;16.081,00
A Coruña;2020;15.381,00
A Coruña;2019;15.310,00
A Coruña;2018;14.635,00
A Coruña;2017;13.979,00
A Coruña;2016;13.560,00
A Coruña;2015;13.096,00
Albacete;2022;14.620,00
Albacete;2021;13.804,00
Albacete;2020;13.059,00
Albacete;2019;12.807,00
Albacete;2018;12.121,00
Albacete;2017;11.511,00
Albacete;2016;11.012,00
Albacete;2015;10.616,00
Alicante/Alacant;2022;13.649,00
Alicante/Alacant;2021;12.813,00
Alicante/Alacant;2020;12.070,00
Alicante/Alacant;2019;12.019,00
Alicante/Alacant;2018;11.496,00
Alicante/Alacant;2017;10.968,00
Alicante/Alacant;2016;10.348,00
Alicante/Alacant;2015;10.174,00
Almería;2022;12.532,00
Almería;2021;11.877,00
Almería;2020;11.354,00
Almería;2019;11.043,00
Almería;2018;10.573,00
Almería;2017;9.992,00
Almería;2016;9.518,00
Almería;2015;9.304,00
Araba/Álava;2022;19.714,00
Araba/Álava;2021;18.700,00
Araba/Álava;2020;17.945,00
Araba/Álava;2019;
Araba/Álava;2018;
Araba/Álava;2017;
Araba/Álava;2016;
Araba/Álava;2015;
Asturias;2022;17.948,00
Asturias;2021;16.882,00
Asturias;2020;16.115,00
Asturias;2019;16.057,00
Asturias;2018;15.391,00
Asturias;2017;14.857,00
Asturias;2016;14.406,00
Asturias;2015;14.172,00
Ávila;2022;14.923,00
Ávila;2021;14.184,00
Ávila;2020;13.447,00
Ávila;2019;13.098,00
Ávila;2018;12.501,00
Ávila;2017;11.854,00
Ávila;2016;11.430,00
Ávila;2015;11.212,00
Badajoz;2022;13.084,00
Badajoz;2021;12.280,00
Badajoz;2020;11.573,00
Badajoz;2019;11.430,00
Badajoz;2018;10.857,00
Badajoz;2017;10.333,00
Badajoz;2016;9.942,00
Badajoz;2015;9.699,00
Barcelona;2022;20.383,00
Barcelona;2021;19.220,00
Barcelona;2020;18.227,00
Barcelona;2019;18.250,00
Barcelona;2018;17.659,00
Barcelona;2017;16.889,00
Barcelona;2016;16.324,00
Barcelona;2015;15.766,00
Bizkaia;2022;20.717,00
Bizkaia;2021;19.471,00
Bizkaia;2020;18.534,00
Bizkaia;2019;18.707,00
Bizkaia;2018;18.055,00
Bizkaia;2017;17.491,00
Bizkaia;2016;17.002,00
Bizkaia;2015;16.664,00
Burgos;2022;18.242,00
Burgos;2021;17.304,00
Burgos;2020;16.469,00
Burgos;2019;16.393,00
Burgos;2018;15.887,00
Burgos;2017;15.124,00
Burgos;2016;14.690,00
Burgos;2015;14.368,00
Cáceres;2022;13.816,00
Cáceres;2021;13.076,00
Cáceres;2020;12.323,00
Cáceres;2019;12.157,00
Cáceres;2018;11.526,00
Cáceres;2017;10.992,00
Cáceres;2016;10.634,00
Cáceres;2015;10.428,00
Cádiz;2022;13.476,00
Cádiz;2021;12.609,00
Cádiz;2020;11.811,00
Cádiz;2019;11.741,00
Cádiz;2018;11.094,00
Cádiz;2017;10.505,00
Cádiz;2016;10.088,00
Cádiz;2015;9.841,00
Cantabria;2022;17.188,00
Cantabria;2021;16.167,00
Cantabria;2020;15.386,00
Cantabria;2019;15.332,00
Cantabria;2018;14.751,00
Cantabria;2017;14.119,00
Cantabria;2016;13.628,00
Cantabria;2015;13.271,00
Castellón/Castelló;2022;16.198,00
Castellón/Castelló;2021;15.345,00
Castellón/Castelló;2020;14.499,00
Castellón/Castelló;2019;14.345,00
Castellón/Castelló;2018;13.728,00
Castellón/Castelló;2017;13.119,00
Castellón/Castelló;2016;12.498,00
Castellón/Castelló;2015;12.015,00
Ceuta;2022;15.249,00
Ceuta;2021;14.499,00
Ceuta;2020;13.718,00
Ceuta;2019;13.368,00
Ceuta;2018;12.683,00
Ceuta;2017;12.094,00
Ceuta;2016;11.988,00
Ceuta;2015;12.017,00
Ciudad Real;2022;13.845,00
Ciudad Real;2021;12.992,00
Ciudad Real;2020;12.361,00
Ciudad Real;2019;12.163,00
Ciudad Real;2018;11.635,00
Ciudad Real;2017;11.000,00
Ciudad Real;2016;10.466,00
Ciudad Real;2015;10.128,00
Córdoba;2022;13.652,00
Córdoba;2021;12.895,00
Córdoba;2020;12.019,00
Córdoba;2019;11.874,00
Córdoba;2018;11.317,00
Córdoba;2017;10.802,00
Córdoba;2016;10.300,00
Córdoba;2015;9.948,00
Cuenca;2022;14.038,00
Cuenca;2021;13.443,00
Cuenca;2020;12.722,00
Cuenca;2019;12.319,00
Cuenca;2018;11.755,00
Cuenca;2017;11.196,00
Cuenca;2016;10.578,00
Cuenca;2015;10.292,00
Gipuzkoa;2022;21.988,00
Gipuzkoa;2021;20.381,00
Gipuzkoa;2020;19.689,00
Gipuzkoa;2019;19.785,00
Gipuzkoa;2018;19.041,00
Gipuzkoa;2017;18.380,00
Gipuzkoa;2016;17.920,00
Gipuzkoa;2015;..
Girona;2022;17.529,00
Girona;2021;16.574,00
Girona;2020;15.623,00
Girona;2019;15.587,00
Girona;2018;14.968,00
Girona;2017;14.310,00
Girona;2016;13.708,00
Girona;2015;13.298,00
Granada;2022;13.943,00
Granada;2021;13.124,00
Granada;2020;12.274,00
Granada;2019;12.168,00
Granada;2018;11.555,00
Granada;2017;11.013,00
Granada;2016;10.566,00
Granada;2015;10.305,00
Guadalajara;2022;16.744,00
Guadalajara;2021;15.823,00
Guadalajara;2020;15.096,00
Guadalajara;2019;14.958,00
Guadalajara;2018;14.415,00
Guadalajara;2017;13.811,00
Guadalajara;2016;13.327,00
Guadalajara;2015;13.080,00
Huelva;2022;13.152,00
Huelva;2021;12.418,00
Huelva;2020;11.767,00
Huelva;2019;11.560,00
Huelva;2018;10.927,00
Huelva;2017;10.357,00
Huelva;2016;9.912,00
Huelva;2015;9.692,00
Huesca;2022;17.312,00
Huesca;2021;16.534,00
Huesca;2020;15.769,00
Huesca;2019;15.469,00
Huesca;2018;14.920,00
Huesca;2017;14.239,00
Huesca;2016;13.580,00
Huesca;2015;13.334,00
Illes Balears;2022;18.524,00
Illes Balears;2021;16.698,00
Illes Balears;2020;15.226,00
Illes Balears;2019;16.492,00
Illes Balears;2018;15.907,00
Illes Balears;2017;15.092,00
Illes Balears;2016;13.965,00
Illes Balears;2015;13.568,00
Jaén;2022;12.870,00
Jaén;2021;12.408,00
Jaén;2020;11.468,00
Jaén;2019;11.280,00
Jaén;2018;10.830,00
Jaén;2017;10.385,00
Jaén;2016;10.020,00
Jaén;2015;9.482,00
La Rioja;2022;16.976,00
La Rioja;2021;16.015,00
La Rioja;2020;15.309,00
La Rioja;2019;15.513,00
La Rioja;2018;14.932,00
La Rioja;2017;14.269,00
